No,Nama_Dosen,Prodi,Fakultas,Profile_URL_SINTA,Profile_URL_GScholar,Sinta_Score,Sinta_Score_3Yr,Affil_Score,Affil_Score_3Yr,Total_Publikasi_GS,Sitasi_GS,h_index_GS,i10_index_GS,Pub_2020,Pub_2021,Pub_2022,Pub_2023,Pub_2024,Pub_2025,Pub_2026,Kategori_Kinerja,Anomali,Keterangan_Anomali
338,MUHAMMAD SIRIH,Pendidikan Biologi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6026139,https://scholar.google.com/citations?user=tAxt2vMAAAAJ,233,90,2223140,957700,61,97,6,1,5,4,4,8,9,10,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
339,IRAWATI,Oseanografi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6022378,https://scholar.google.com/citations?user=lIjEy3QAAAAJ,4350,1503,0,0,61,36,3,1,1,3,9,9,7,7,5,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
340,MUHAMMAD SATRIA,Unknown,,https://sinta.kemdiktisaintek.go.id/authors/profile/6655934,,85,0,1723120,0,60,807,14,18,0,0,0,0,0,0,0,Cukup,Diperbaiki,Sinta Profile Rescued
341,RUSLIN,Farmasi (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004000,https://scholar.google.com/citations?user=A1ODrWMAAAAJ,3723,778,2446,456,60,747,15,23,14,7,7,3,1,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
342,ALIDA PALILATI,Manajemen (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6014514,https://scholar.google.com/citations?user=MIpdAf4AAAAJ,378,93,3182520,541563,60,648,9,8,3,4,3,1,7,9,4,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 600% di Tahun 2024. 
343,WA ODE SITTI ZUBAYDAH,Farmasi (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/259683,https://scholar.google.com/citations?user=wXGy6YoAAAAJ,447,137,2627580,954522,60,410,9,7,4,7,4,10,6,11,7,Produktif,Tidak,
344,SYAM RAHADI,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/259095,https://scholar.google.com/citations?user=GANohAcAAAAJ,616,106,3078410,158277,60,302,10,11,7,2,2,2,2,8,4,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
345,BAHTIAR,Manajemen Sumber Daya Perairan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6195478,https://scholar.google.com/citations?user=3MbAAE8AAAAJ,1107,543,0,0,60,235,9,8,2,1,12,18,5,3,0,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 1100% di Tahun 2022. 
346,ANDI TENRIAWARU,Ilmu Komputer (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6185375,https://scholar.google.com/citations?user=cjw_M4sAAAAJ,542,234,2469040,1053980,60,181,7,5,3,9,5,8,5,19,2,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
347,ARISONA,Fisika (S2),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6715912,https://scholar.google.com/citations?user=yr6pnJEAAAAJ,971,190,0,0,60,177,9,7,5,4,11,10,8,8,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
348,RACHMAWATI HASID,Agronomi (S2),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/6031290,https://scholar.google.com/citations?user=ZUJyknsAAAAJ,464,109,2702090,251712,60,154,7,3,3,4,2,5,4,12,1,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
349,DIAN AGUSTINA,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/6732120,https://scholar.google.com/citations?user=j5h1htIAAAAJ,293,139,293,139,60,135,6,3,3,6,1,2,7,12,6,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
350,ARMAN FASLIH,Teknik Arsitektur (D3),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6032057,https://scholar.google.com/citations?user=-_QzJngAAAAJ,217,12,3482320,590759,60,119,5,3,8,2,1,8,5,8,1,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 700% di Tahun 2023. 
351,SURYAWAN ASFAR,Teknik Geologi (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/5984566,https://scholar.google.com/citations?user=4TmbAZ8AAAAJ,295,63,3231460,348753,60,115,6,1,15,10,5,7,2,0,4,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
352,ABDUL HAMID,Manajemen Sumber Daya Perairan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/76072,https://scholar.google.com/citations?user=4EwGhiAAAAAJ,4553,575,0,0,59,458,13,15,3,5,6,3,5,3,5,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
353,RITA NINGSIH,Bioteknologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6647866,https://scholar.google.com/citations?user=h0uy-pcAAAAJ,164,49,0,0,59,401,11,13,5,6,7,9,7,3,4,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
354,LA RANGKI,Keperawatan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6158864,https://scholar.google.com/citations?user=0nhGy_YAAAAJ,665,208,3341520,884679,59,379,11,12,12,4,5,9,8,4,2,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
355,LA ODE AHMAD,Kimia (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/259746,https://scholar.google.com/citations?user=5LjjvMoAAAAJ,1364,389,4398710,909803,59,311,10,10,8,2,5,2,2,11,3,Berpengaruh,Ya,[D] Lonjakan Tidak Wajar: 450% di Tahun 2025. 
356,ANAS NIKOYAN,Penyuluhan Pertanian (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6668269,https://scholar.google.com/citations?user=jr47hcgAAAAJ,448,206,3451920,1504810,59,204,7,5,6,3,2,5,15,8,1,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
357,SUDARSONO,Teknik Mesin (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6748529,https://scholar.google.com/citations?user=uigVEBwAAAAJ,5250,1319,2940,899,59,159,7,3,6,6,5,7,7,6,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
358,FITRIA DEWI,Kimia (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/5987002,https://scholar.google.com/citations?user=lho-_yQAAAAJ,1542,359,1823,539,59,143,6,3,6,4,5,10,7,2,2,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
359,BAHDIN AHAD BADIA,Teknik Mesin (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6905880,https://scholar.google.com/citations?user=qK1MVbwAAAAJ,294,272,3538120,2595600,59,100,6,1,1,1,0,4,26,15,6,Cukup,Ya,[D] Lonjakan Tidak Wajar: 550% di Tahun 2024. 
360,ROSMAWATI,Agrobisnis Perikanan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6052372,https://scholar.google.com/citations?user=jmmJ4xQAAAAJ,852,340,0,0,59,60,4,1,1,10,11,13,11,9,0,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 900% di Tahun 2021. 
361,HASAN ELDIN ADIMU,Manajemen Sumber Daya Perairan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/257981,https://scholar.google.com/citations?user=TyqOkzoAAAAJ,1002,465,2449600,1129160,58,364,9,8,2,3,4,8,14,12,2,Berpengaruh,Tidak,
362,IRA,Ilmu Kelautan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/6716392,https://scholar.google.com/citations?user=NmONT30AAAAJ,4989,1621,4989,1621,58,293,9,8,8,9,3,6,3,2,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
363,NASRULLAH DALI,Ilmu Ekonomi (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6016565,https://scholar.google.com/citations?user=tjgx1H0AAAAJ,147,28,3215510,910259,58,275,9,9,4,6,2,11,6,8,2,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 450% di Tahun 2023. 
364,WA KUASA BAKA,Tradisi Lisan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5974121,https://scholar.google.com/citations?user=VyeCIGgAAAAJ,663,149,1626750,454874,58,242,9,6,4,2,2,9,8,6,3,Produktif,Ya,[D] Lonjakan Tidak Wajar: 350% di Tahun 2023. 
365,HAIRIL ADZULYATNO HADINI,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/5987180,https://scholar.google.com/citations?user=uRL1H-0AAAAJ,469,202,1705860,248406,58,226,8,7,5,5,10,9,9,3,5,Produktif,Tidak,
366,VICA ASPADIAH,Pendidikan Profesi Apoteker (Profesi),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6791182,https://scholar.google.com/citations?user=LNRzyFoAAAAJ,456,265,2289400,1377960,58,216,6,2,2,4,3,11,9,15,10,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
367,ASMAR HASAN,Proteksi Tanaman (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/259690,https://scholar.google.com/citations?user=wJ_nrwYAAAAJ,539,264,1956960,785617,58,146,6,4,1,4,4,14,9,7,2,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
368,SINARWATY,Ilmu Manajemen (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5974171,https://scholar.google.com/citations?user=esnjXS4AAAAJ,92,38,2707250,784856,58,135,4,2,4,10,8,5,6,3,4,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
369,SITTI HERMINA,Tradisi Lisan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6658185,https://scholar.google.com/citations?user=M48qds4AAAAJ,162,41,2345860,1196940,58,124,5,2,6,3,3,9,10,10,1,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
370,RESTU LIBRIANI,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors?q=RESTU+LIBRIANI&search=1,https://scholar.google.com/citations?user=xbms4asAAAAJ,166,367,23,55,58,96,6,0,8,1,9,12,12,5,3,Cukup,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 800% di Tahun 2022. 
371,ANWAR,Pendidikan Sejarah (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors?q=ANWAR&search=1,https://scholar.google.com/citations?user=Wn5p2TYAAAAJ,1565,8880,1357,5506,57,729,9,9,2,0,3,3,2,3,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
372,AMIRUDDIN ESO,Kedokteran (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5973664,https://scholar.google.com/citations?user=V0tvDnQAAAAJ,479,154,2024370,277291,57,498,10,10,19,3,3,6,4,5,3,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
373,HASANUDDIN JUMARENG,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6694011,https://scholar.google.com/citations?user=LZPyjI0AAAAJ,363,204,3644850,1285960,57,425,11,12,1,24,10,8,5,3,1,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
374,JAMHIR SAFANI,Teknik Geofisika (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/5973967,https://scholar.google.com/citations?user=SfROvGUAAAAJ,768,195,3573910,687487,57,313,9,9,5,2,2,9,3,5,2,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
375,AWALUDDIN HAMZAH,Penyuluhan Pertanian (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5973582,https://scholar.google.com/citations?user=n2e4jowAAAAJ,606,175,2495050,471618,57,308,8,8,2,5,1,10,3,2,2,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
376,ANDI BESSE PATADJAI,Teknologi Hasil Perikanan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/5973099,https://scholar.google.com/citations?user=Ciifu2YAAAAJ,576,125,3180290,472683,57,239,8,6,5,5,2,5,7,2,4,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
377,ILHAM,Arsitektur (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors?q=ILHAM&search=1,https://scholar.google.com/citations?user=WLasSRYAAAAJ,1259,2929,941,2778,57,128,6,2,2,9,14,10,5,7,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 350% di Tahun 2021. 
378,ANDRIAS,Pendidikan Geografi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors?q=ANDRIAS&search=1,https://scholar.google.com/citations?user=3WTsaNwAAAAJ,424,3569,268,493,57,108,5,2,2,3,9,11,11,11,1,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
379,IRVAN ANWAR,Farmasi (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/6815509,https://scholar.google.com/citations?user=iROqo-YAAAAJ,246,197,2299460,1945060,57,74,5,0,0,1,1,14,17,17,3,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
380,NANI R SIREGAR,Psikologi (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5973947,https://scholar.google.com/citations?user=WP2IZU8AAAAJ,299,84,1635180,219050,56,665,6,5,10,1,2,9,11,3,2,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
381,MUHSIN,Biologi (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/256922,,1532,871,0,0,56,640,14,16,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
382,LA ODE SAFUAN,Ilmu Pertanian (S3),Pascasarjana,https://sinta.kemdiktisaintek.go.id/authors/profile/260017,https://scholar.google.com/citations?user=UmNuXP8AAAAJ,586,97,3995850,177658,56,459,10,16,4,2,2,3,1,1,0,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
383,ZAINUDDIN SAENONG,Ilmu Ekonomi (S3),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5978475,https://scholar.google.com/citations?user=rpWEDhQAAAAJ,324,41,2750870,895399,56,297,9,9,3,1,5,7,8,6,2,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
384,"DR. MURSALIM S.PD., M.PD., M.INF.TECH.",Keguruan Bahasa (S2),Pascasarjana,"https://sinta.kemdiktisaintek.go.id/authors?q=DR.+MURSALIM+S.PD.,+M.PD.,+M.INF.TECH.&search=1",https://scholar.google.com/citations?user=esnvcn8AAAAJ,0,0,0,0,56,290,7,5,6,8,9,2,4,1,0,Rendah,Tidak,
385,WAYAN MUSTIKA,Teknik Sipil (D3),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors?q=WAYAN+MUSTIKA&search=1,https://scholar.google.com/citations?user=h5wcH_IAAAAJ,817,4879,237,629,56,272,8,7,5,7,5,5,8,8,2,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
386,EVA SOLINA GULTOM,Sastra Inggris (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6693112,https://scholar.google.com/citations?user=wYy468gAAAAJ,163,93,2542120,1228740,56,248,7,4,4,5,10,11,9,11,3,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
387,BUSNAWIR,Pendidikan Matematika (S2),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6443592,https://scholar.google.com/citations?user=3cmLCiUAAAAJ,687,343,2332790,463629,56,242,10,10,1,3,3,7,2,6,0,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
388,MARSUNA,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6778406,https://scholar.google.com/citations?user=3B24IegAAAAJ,458,265,1481370,1251810,56,241,9,8,0,0,11,11,17,14,3,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
389,LA ODE AMALUDDIN,Pendidikan Geografi (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6665383,https://scholar.google.com/citations?user=j9Vn0EoAAAAJ,780,242,2470080,741242,56,175,6,4,4,8,12,8,4,4,0,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
390,INE FAUSAYANA,Agribisnis (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6650564,https://scholar.google.com/citations?user=YJGbHXAAAAAJ,363,61,3567650,1228990,56,163,7,4,1,0,4,9,10,2,0,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
391,SITTI HAIRANI IDRUS,Administrasi Bisnis (S1),Fakultas Ilmu Sosial dan Ilmu Politik,https://sinta.kemdiktisaintek.go.id/authors/profile/5990021,https://scholar.google.com/citations?user=48YqFLEAAAAJ,287,227,3220030,1606950,56,150,7,4,3,1,2,3,12,15,4,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
392,SAKIR,Teknologi Pangan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors?q=SAKIR&search=1,https://scholar.google.com/citations?user=mEjBYPsAAAAJ,596,1551,304,644,56,99,5,4,3,18,14,0,4,8,3,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [D] Lonjakan Tidak Wajar: 500% di Tahun 2021. 
393,WA ODE YUSRIA,Agribisnis (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/5973595,https://scholar.google.com/citations?user=iHYkRn4AAAAJ,287,77,2562010,946511,55,268,8,6,2,3,3,11,8,2,0,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
394,LYMBRAN TINA,Kesehatan Masyarakat (S1),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/5998262,https://scholar.google.com/citations?user=yPh60D0AAAAJ,405,18,3622610,162961,55,221,9,9,8,3,0,1,0,6,2,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
395,MUHAMMAD RUSLI,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors?q=MUHAMMAD+RUSLI&search=1,https://scholar.google.com/citations?user=157HAnsAAAAJ,778,3723,237,1034,55,219,8,7,2,6,11,16,7,5,2,Produktif,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
396,ROSMAWATY,Penyuluhan Pertanian (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors?q=ROSMAWATY&search=1,https://scholar.google.com/citations?user=QyGrBzcAAAAJ,312,815,254,504,55,184,5,3,2,4,16,1,0,0,0,Cukup,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
397,LA GUBU,Matematika (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/5973747,https://scholar.google.com/citations?user=3s96bKsAAAAJ,413,78,2015240,1043160,55,151,7,7,3,5,1,11,17,8,1,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
398,ALI OKTO,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/5989543,https://scholar.google.com/citations?user=Dv8TVpQAAAAJ,101,73,2016630,1284610,55,106,5,0,5,7,10,12,6,8,0,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
399,ARMAN,Matematika (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors?q=ARMAN&search=1,https://scholar.google.com/citations?user=xwgI2LEAAAAJ,2299,18716,1332,4770,55,78,5,1,2,5,10,11,21,0,0,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
400,SARLAN ADIJAYA,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6938568,https://scholar.google.com/citations?user=MDG2sXUAAAAJ,426,225,1265560,467538,55,47,4,0,2,5,7,5,5,18,5,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
401,ROMY SURYANINGRAT EDWIN,Teknik Rekayasa Infrastruktur dan Lingkungan (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors/profile/6725594,https://scholar.google.com/citations?user=KnyFalUAAAAJ,1093,353,3549240,734327,54,559,9,8,2,6,8,1,9,12,3,Berpengaruh,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
402,HAFILUDIN SAMPARADJA,Pendidikan Matematika (S2),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6035414,https://scholar.google.com/citations?user=DF_DVYsAAAAJ,228,3,3355710,187220,54,218,8,4,5,1,3,1,1,3,1,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
403,TAJUDDIN,Ilmu Ekonomi (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors?q=TAJUDDIN&search=1,https://scholar.google.com/citations?user=VK1ST3AAAAAJ,887,2457,534,930,54,198,5,3,2,5,5,10,14,9,2,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
404,SALMA SALEH,Manajemen (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6013640,https://scholar.google.com/citations?user=opccbUMAAAAJ,110,18,2237720,682147,54,158,6,3,5,2,2,6,9,8,8,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
405,LA ODE ABDUL RAJAB NADIA,Manajemen Sumber Daya Perairan (S1),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/6201680,https://scholar.google.com/citations?user=AYv7yrEAAAAJ,219,44,2694480,500607,54,116,6,3,8,5,5,2,4,6,1,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
406,NASRUDDIN SUYUTI,Kajian Budaya (S2),Pascasarjana,https://sinta.kemdiktisaintek.go.id/authors/profile/6043948,https://scholar.google.com/citations?user=FTkqju8AAAAJ,284,86,2536260,716024,54,109,6,3,1,3,1,4,12,7,3,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
407,MISRAN SAFAR,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6027162,https://scholar.google.com/citations?user=2m6ntYgAAAAJ,68,13,2950460,54439,54,86,5,2,5,1,1,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
408,MUHAMMAD SABARUDDIN SINAPOY,Ilmu Hukum (S1),Fakultas Hukum,https://sinta.kemdiktisaintek.go.id/authors/profile/6167318,https://scholar.google.com/citations?user=Uw2x2rQAAAAJ,376,55,3005530,881704,53,2508,9,9,6,2,0,10,10,5,2,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
409,SAPRIN,Pendidikan Biologi (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6696259,,27,15,41878,4120,53,552,12,15,0,0,0,0,0,0,0,Rendah,Diperbaiki,Sinta Profile Rescued
410,DIAN PRATIWI,Sastra Prancis (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/6073963,,339,125,5009180,1157510,53,475,12,14,0,0,0,0,0,0,0,Produktif,Diperbaiki,Sinta Profile Rescued
411,LA TARIFU,Unknown,Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6051780,https://scholar.google.com/citations?user=gov4iVEAAAAJ,93,16,1721060,141569,53,241,8,7,10,2,10,13,0,0,0,Cukup,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
412,BAIHAQI,Teknologi Pangan (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors?q=BAIHAQI&search=1,https://scholar.google.com/citations?user=9XHeLaUAAAAJ,814,2487,459,823,53,238,10,10,2,0,5,7,13,20,2,Produktif,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
413,HAMUNI,Pendidikan Pancasila Dan Kewarganegaraan (S1),Fakultas Keguruan dan Ilmu Pendidikan,https://sinta.kemdiktisaintek.go.id/authors/profile/6041420,https://scholar.google.com/citations?user=wh6RSMEAAAAJ,542,186,2942030,1222220,53,191,4,2,4,4,4,10,5,5,3,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
414,MASYKUR KIMSAN,Teknik Kelautan (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/6099205,https://scholar.google.com/citations?user=XeT5NuUAAAAJ,622,200,2505380,309575,53,184,6,4,1,5,7,2,6,5,5,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
415,SANTI,Arsitektur (S1),Fakultas Teknik,https://sinta.kemdiktisaintek.go.id/authors?q=SANTI&search=1,https://scholar.google.com/citations?user=RSaTzWoAAAAJ,966,3190,962,4251,53,146,5,4,3,5,0,5,7,2,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
416,NASLINA ALIMINA,Perikanan Tangkap (S1),Fakultas Perikanan dan Ilmu Kelautan,https://sinta.kemdiktisaintek.go.id/authors/profile/5973077,https://scholar.google.com/citations?user=SDz-3pQAAAAJ,360,149,1537790,480278,53,143,6,5,7,3,4,5,8,10,1,Produktif,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
